Node_ID,Name,Type,Latitude,Longitude
30092040,Carrefour,Supermarket,-1.2984066,36.7633237
30210335,Barizi,Bar/Pub,-1.2925643,36.7868253
30324274,Soho's Bar,Bar/Pub,-1.2625883,36.805176
30324343,Carrefour,Supermarket,-1.2609034,36.8018312
30402750,K1 Klub House,Bar/Pub,-1.26846,36.8118717
30695833,Naivas Supermarket,Supermarket,-1.3164518,36.8348783
255683646,Atlantis Gardens,Bar/Pub,-1.2915453,36.7904313
474638067,Kenya Wildlife Service Officers Mess,Bar/Pub,-1.3409981,36.7929272
489246761,Nakumatt Embakasi Supermarket,Supermarket,-1.3295149,36.8891623
494772725,Chandarana Food Plus Supermarket Ltd.,Supermarket,-1.2593846,36.8178663
521103444,Fairlane,Supermarket,-1.3068216,36.8020059
597647390,Onn The Way Supermarket Muthaiga,Supermarket,-1.2499888,36.8202489
612007089,LainiI Saba Market,Supermarket,-1.3103868,36.7958157
612007266,Home Park Bar,Bar/Pub,-1.3112316,36.7890498
612007485,Darajani In Bar,Bar/Pub,-1.3112647,36.7878088
612007666,Getangura Shop,Convenience/Duka,-1.3116313,36.7938614
612007705,Kaloki Super Market,Supermarket,-1.3122214,36.797677
612007857,Soweto Corner Posho Mill,Convenience/Duka,-1.3151354,36.7751908
612007863,Rafiki stores,Convenience/Duka,-1.3143528,36.776108
612008382,Jeliza Shop,Convenience/Duka,-1.3152252,36.7925402
612008387,Munyote shop,Convenience/Duka,-1.3174212,36.7943636
612008391,Uchumi Ndogo Retail Shop,Convenience/Duka,-1.3159641,36.7941386
612008392,Heroes keg pub,Bar/Pub,-1.3165326,36.7948537
612008394,Uchumi Ndogo Annex,Convenience/Duka,-1.3154741,36.79329
612008395,Japolo Tailoring Shop,Convenience/Duka,-1.3156011,36.7933467
612008401,New Migori Bar,Bar/Pub,-1.3141844,36.7939068
612008449,cereals,Supermarket,-1.3151523,36.7797164
612008459,Nebera Busaa Club,Bar/Pub,-1.3142165,36.7820935
612008471,Green Hut Pub,Bar/Pub,-1.3132983,36.7966055
612008476,Kwaka Complex Pub,Bar/Pub,-1.3138751,36.7975341
612008477,Zaire Complex Bar,Bar/Pub,-1.3127532,36.7958865
612008494,Grocery,Supermarket,-1.3102203,36.7760353
612008603,Nyaki Consultant Shop,Convenience/Duka,-1.3155274,36.7752537
612008684,Mashimoni pub,Bar/Pub,-1.312144,36.7921875
612008721,Wholesale,Convenience/Duka,-1.3132082,36.7949688
612008729,Chabumba Store,Convenience/Duka,-1.3116127,36.7937372
612008734,Jasho Mini Store,Convenience/Duka,-1.3113798,36.7943004
612008735,Friends Joint Kibera,Bar/Pub,-1.3114207,36.794306
612008743,Jakamiyawa Tailoring Shop,Convenience/Duka,-1.3111764,36.7947507
612008744,Makutano Bar,Bar/Pub,-1.3111592,36.7948104
612008752,City Point store,Convenience/Duka,-1.3111228,36.7948919
612008807,Battery Charging,Convenience/Duka,-1.3146322,36.7835099
612008848,Tailr shop,Convenience/Duka,-1.3149721,36.7856842
612008856,mama Khukhu Charcoal shop,Convenience/Duka,-1.3150412,36.7870898
612008946,Califonia Bar,Bar/Pub,-1.3135606,36.7966136
612008948,Wholesale,Supermarket,-1.3133438,36.7967341
612008949,Wholesale,Supermarket,-1.3132941,36.7969956
612008953,First and Last Bar,Bar/Pub,-1.3128683,36.7973136
612008957,Gitangura Bee Hive Bar,Bar/Pub,-1.3123145,36.7942297
612008959,Kims Bar,Bar/Pub,-1.3116225,36.7935815
612008962,Zoweni Bar,Bar/Pub,-1.3127619,36.795388
612008973,Wa Muchedi Bar,Bar/Pub,-1.3122716,36.7969355
612008974,Tamaduni Bar,Bar/Pub,-1.3122595,36.7966813
612008975,Kim's Complex Bar,Bar/Pub,-1.3121877,36.7973116
612008979,Uwanjani Shop,Convenience/Duka,-1.3119296,36.7961311
612008980,Kaka Tailoring Shop,Convenience/Duka,-1.3126756,36.7972942
612008983,Manchester United shop,Convenience/Duka,-1.3123708,36.797547
612008985,Kirere Bar,Bar/Pub,-1.3120761,36.797871
