Date,Region,StockCode,Units_Sold,Current_Stock,Reorder_Triggered
2010-12-17,Australia,20725,10,990,0
2011-04-08,Australia,20725,30,960,0
2011-06-15,Australia,20725,100,860,0
2011-07-19,Australia,20725,21,839,0
2011-08-12,Australia,20725,10,829,0
2011-09-28,Australia,20725,10,819,0
2011-11-15,Australia,20725,100,719,0
2011-01-11,Australia,20726,20,980,0
2011-02-15,Australia,20726,100,880,0
2011-04-08,Australia,20726,10,870,0
2011-08-12,Australia,20726,10,860,0
2011-08-18,Australia,20726,100,760,0
2011-09-28,Australia,20726,30,730,0
2011-01-11,Australia,20727,20,980,0
2011-01-19,Australia,20727,10,970,0
2011-04-08,Australia,20727,10,960,0
2011-10-05,Australia,20727,100,860,0
2011-01-11,Australia,20728,20,980,0
2011-01-19,Australia,20728,10,970,0
2011-09-28,Australia,20728,20,950,0
2011-02-15,Australia,21080,192,808,0
2011-03-03,Australia,21080,96,712,0
2011-06-15,Australia,21080,96,616,0
2011-02-15,Australia,21212,120,880,0
2011-06-15,Australia,21212,240,640,0
2011-07-24,Australia,21931,10,990,0
2011-01-06,Australia,22077,144,856,0
2011-07-14,Australia,22086,6,994,0
2011-09-25,Australia,22086,12,982,0
2011-11-24,Australia,22086,20,962,0
2011-04-08,Australia,22138,3,997,0
2011-06-15,Australia,22138,48,949,0
2011-06-30,Australia,22138,3,946,0
2011-07-19,Australia,22138,4,942,0
2011-07-24,Australia,22138,6,936,0
2011-08-18,Australia,22138,48,888,0
2011-02-15,Australia,22139,96,904,0
2011-06-15,Australia,22139,96,808,0
2011-06-30,Australia,22139,3,805,0
2011-07-13,Australia,22139,48,757,0
2011-08-18,Australia,22139,24,733,0
2011-01-11,Australia,22382,20,980,0
2011-02-15,Australia,22382,100,880,0
2011-03-03,Australia,22382,100,780,0
2011-04-08,Australia,22382,10,770,0
2011-05-12,Australia,22382,10,760,0
2011-05-23,Australia,22382,10,750,0
2011-08-18,Australia,22382,100,650,0
2011-11-15,Australia,22382,100,550,0
2011-01-11,Australia,22383,10,990,0
2011-04-08,Australia,22383,30,960,0
2011-08-12,Australia,22383,10,950,0
