StockCode,Total_Units_Sold,Order_Frequency,Cluster,Segment
15036,23826,232,2,High Velocity
17003,23056,154,2,High Velocity
21212,36419,298,2,High Velocity
21915,22133,247,2,High Velocity
21977,24854,277,2,High Velocity
22178,24304,290,2,High Velocity
22197,56921,294,2,High Velocity
22386,21465,288,2,High Velocity
22492,26633,208,2,High Velocity
22616,26339,239,2,High Velocity
23084,30906,137,2,High Velocity
23166,78033,125,2,High Velocity
23843,80995,1,2,High Velocity
84077,55047,235,2,High Velocity
84879,36461,300,2,High Velocity
85099B,48478,301,2,High Velocity
85123A,41664,305,2,High Velocity
